Time [s], PLETH
0,0.63636
0.032,0.65689
0.064,0.67351
0.096,0.68817
0.128,0.6999
0.16,0.7087
0.192,0.71652
0.224,0.72043
0.256,0.72336
0.288,0.72434
0.32,0.72532
0.352,0.72434
0.384,0.72239
0.416,0.71848
0.448,0.71359
0.48,0.70674
0.512,0.69892
0.544,0.68915
0.576,0.67742
0.608,0.66471
0.64,0.652
0.672,0.63636
0.704,0.62072
0.736,0.60411
0.768,0.58749
0.8,0.57185
0.832,0.55718
0.864,0.54448
0.896,0.53372
0.928,0.52395
0.96,0.51515
0.992,0.50635
1.024,0.50049
1.056,0.49365
1.088,0.48778
1.12,0.48094
1.152,0.4741
1.184,0.46725
1.216,0.46139
1.248,0.45455
1.28,0.4477
1.312,0.44184
1.344,0.43597
1.376,0.43109
1.408,0.4262
1.44,0.42229
1.472,0.4174
1.504,0.41251
1.536,0.40762
1.568,0.40274
1.6,0.39785
1.632,0.39296
1.664,0.38905
1.696,0.38514
1.728,0.38123
1.76,0.37732
1.792,0.37439
1.824,0.37146
1.856,0.36852
1.888,0.36461
1.92,0.3607
1.952,0.35679
1.984,0.35288
2.016,0.34897
2.048,0.34409
2.08,0.34115
2.112,0.33822
2.144,0.33822
2.176,0.34018
2.208,0.34604
2.24,0.35582
2.272,0.37243
2.304,0.39492
2.336,0.42229
2.368,0.45552
2.4,0.48974
2.432,0.52493
2.464,0.55816
2.496,0.58847
2.528,0.61584
2.56,0.63832
2.592,0.65494
2.624,0.66764
2.656,0.68035
2.688,0.69013
2.72,0.69795
2.752,0.70479
2.784,0.7087
2.816,0.71163
2.848,0.71261
2.88,0.71261
2.912,0.71163
2.944,0.7087
2.976,0.70479
3.008,0.6999
3.04,0.69306
3.072,0.68524
3.104,0.67546
3.136,0.66373
3.168,0.65005
3.2,0.63539
3.232,0.61877
3.264,0.60313
3.296,0.58651
3.328,0.57087
3.36,0.55523
3.392,0.54252
3.424,0.53177
3.456,0.52004
3.488,0.51026
3.52,0.50049
3.552,0.49169
3.584,0.48387
3.616,0.47703
3.648,0.47019
3.68,0.46334
3.712,0.45748
3.744,0.45161
3.776,0.44575
3.808,0.44086
3.84,0.43695
3.872,0.43206
3.904,0.4262
3.936,0.42131
3.968,0.4174
4,0.41349
4.032,0.40958
4.064,0.40469
4.096,0.40078
4.128,0.39589
4.16,0.39198
4.192,0.38807
4.224,0.38612
4.256,0.38221
4.288,0.3783
4.32,0.37439
4.352,0.36364
4.384,0.34995
4.416,0.34115
4.448,0.33529
4.48,0.3304
4.512,0.32649
4.544,0.32258
4.576,0.31769
4.608,0.31476
4.64,0.31281
4.672,0.30987
4.704,0.30792
4.736,0.3089
4.768,0.31378
4.8,0.32454
4.832,0.34213
4.864,0.36755
4.896,0.39785
4.928,0.43402
4.96,0.47312
4.992,0.50635
5.024,0.53763
5.056,0.56989
5.088,0.6002
5.12,0.62659
5.152,0.64907
5.184,0.66764
5.216,0.68328
5.248,0.69599
5.28,0.70577
5.312,0.71359
5.344,0.71848
5.376,0.72239
5.408,0.72434
5.44,0.72336
5.472,0.72141
5.504,0.71848
5.536,0.71457
5.568,0.7087
5.6,0.70088
5.632,0.6911
5.664,0.67937
5.696,0.66667
5.728,0.65103
5.76,0.63441
5.792,0.61877
5.824,0.60313
5.856,0.58651
5.888,0.56989
5.92,0.55327
5.952,0.53763
5.984,0.52297
6.016,0.51026
6.048,0.49951
6.08,0.48974
6.112,0.47996
6.144,0.47214
6.176,0.4653
6.208,0.45846
6.24,0.45259
6.272,0.44673
6.304,0.43988
6.336,0.43304
6.368,0.4262
6.4,0.42033
6.432,0.41349
6.464,0.40762
6.496,0.40176
6.528,0.39589
6.56,0.39003
6.592,0.38612
6.624,0.38221
6.656,0.37634
6.688,0.37146
6.72,0.36657
6.752,0.3607
6.784,0.35582
6.816,0.35191
6.848,0.34702
6.88,0.34213
6.912,0.33724
6.944,0.33431
6.976,0.3304
7.008,0.32747
7.04,0.32454
7.072,0.32063
7.104,0.31574
7.136,0.31085
